title,weight,price,image
Banana Pindi/Stem,500g,6,https://www.luluhypermarket.com/medias/481354-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzQ1M3xpbWFnZS9qcGVnfGgzYS9oNzYvOTcyOTQ5MDY4MTg4Ni80ODEzNTQtMDEuanBnXzMwMFd4MzAwSHw1YjM3OWQ0ZmZlODVmOGZiMzc4NDg1Y2FjMTg3OGQ1NDNiNGYzM2FlNDhmY2ZlNTNlNjI1NDIzMzhiODdlY2Q1
Fresh Cut Honey Dew,250g,8.25,https://www.luluhypermarket.com/medias/1055562-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTIwOHxpbWFnZS9qcGVnfGltYWdlcy9oZmMvaGUyLzkxNDgyMzA3OTUyOTQuanBnfDM2NTJhY2RlZTBjZDI4YTgwMWQxMTY1NDk3OTJlNWVkMzlhOTM0NjM5ODYxZmFhNmQ1NmRiNjQ1MWVkMTVkNGM
Lemon Turkey Big,500g,2.75,https://www.luluhypermarket.com/medias/520922-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMDAzMXxpbWFnZS9qcGVnfGltYWdlcy9oNDQvaGIzLzkxNDgwNjk1NzY3MzQuanBnfDAxZTM0NDNlOTg5YjY4NDZiZDY2NjQzNDNiZTNkOWNiYzM3ODJmZmUzOTNmN2UyM2QwZGViZTZkODg5MjlmMjQ
Apple Royal Gala Poland,1kg,8.25,https://www.luluhypermarket.com/medias/1027263-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0NDUyMXxpbWFnZS9qcGVnfGltYWdlcy9oMjgvaDRiLzkxNDg4NDMzOTMwNTQuanBnfDI0MTMzNzQ1Y2EwMDExYTcwY2I2ODdmOGEwM2JkMjIzNDc3YTY1ZmJlZTZlYTUzMWNmN2QyZGZmNDA5ZTFiNTA
Premium Eggplant Long Qatar,1pkt,5,https://www.luluhypermarket.com/medias/1377978-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wzNDIzMXxpbWFnZS9qcGVnfGhjYi9oYTYvOTc4ODUzNjQyMjQzMC8xMzc3OTc4LTAxLmpwZ18zMDBXeDMwMEh8NmMwMGM3OGE1YTczOWM5YTNhODllNDAwYWRhNjlhMmU1NDM0NDM5YTZhNGY2YzA5MDJmMTUyODIxMWNjYmI1NQ
Pineapple Cuts,250g,8.25,https://www.luluhypermarket.com/medias/569674-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjg0OHxpbWFnZS9qcGVnfGltYWdlcy9oYWQvaDJmLzkxNDgwODAxOTM1NjYuanBnfGZmYmQzZmQyYzhmNWYwNTk0YzUzOWRkY2UxMjg2OWZhODY0NzBiOWUyMTcyZWFmYjQ3ZjE5MmM1MzdlZmU0ZTM
Sweet Tamarind With Sugar,1Packet,9.5,https://www.luluhypermarket.com/medias/925612-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w2MjcxNXxpbWFnZS9qcGVnfGltYWdlcy9oMTgvaGM5LzkwNzA3NzgxNTUwMzguanBnfDY2ZGMyMjc5NjczYThmMGViMGQzMjk0YjA5OWY5YmQ2ODdhNTg5NzZlMmNiMjFlMDAzNzUxNjkzYmVjMjZlYzc
Red Chilli Bird Thailand,1pkt,5.75,https://www.luluhypermarket.com/medias/383573-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3w0OTEwMnxpbWFnZS9qcGVnfGltYWdlcy9oZTgvaDBmLzkwODQyNjY5NzExNjYuanBnfDRkZGQzZjZiZjM0OWI3NTMyZmJkZGVmNGE5Zjg0MGEyMTg5NDFlM2UzMDdhZjI3YmU0NTNhZDZjYzRlYmM3MjM
Green Sweet Mango Thailand,1kg,37.25,https://www.luluhypermarket.com/medias/363164-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDA4MnxpbWFnZS9qcGVnfGltYWdlcy9oYTgvaDU4LzkxNDgwMTQ3MjMxMDIuanBnfGJlN2JjNzUxZTE5YTUxM2U4MWUxZTBhOTE1ZmNlYjhkYzk1ZDZlMGJiZWM2YmVlY2E1NjkzYTc3YTFmOTZiOTc
Sweet Potato Jewel,600g,21.25,https://www.luluhypermarket.com/medias/974645-01.jpg-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTQ5NnxpbWFnZS9qcGVnfGltYWdlcy9oNmIvaDZmLzkxNDgyMDk1NjE2MzAuanBnfDgyYTQ5NGM3NGJhMGZkYzJmMzA1MDg2YTM3NTNhOGM4MGNiYzM0NWU5ZDExODIzYTE5NzZiMWVjNzhkNWRiNDA
